BANK_NAME,STATE,VARIABLE_NAME,VALUE,UNIT,DATE
American National Bank & Trust,TX,Total Assets,2370355000.00000000000,USD,2025-03-31
American National Bank - Fox Cities,WI,Total Assets,417359000.00000000000,USD,2025-03-31
American National Bank of Minnesota,MN,Total Assets,480533000.00000000000,USD,2025-03-31
"American Plus Bank, N.A.",CA,Total Assets,783388000.00000000000,USD,2025-03-31
American Pride Bank,GA,Total Assets,491161000.00000000000,USD,2025-03-31
American Riviera Bank,CA,Total Assets,1288204000.00000000000,USD,2025-03-31
"American Savings Bank, FSB",HI,Total Assets,9162762000.00000000000,USD,2025-03-31
American State Bank,TX,Total Assets,688540000.00000000000,USD,2025-03-31
American State Bank,IA,Total Assets,329115000.00000000000,USD,2025-03-31
American State Bank,IA,Total Assets,1454637000.00000000000,USD,2025-03-31
American State Bank & Trust Company of Williston,ND,Total Assets,646118000.00000000000,USD,2025-03-31
American State Bank of Grygla,MN,Total Assets,81478000.00000000000,USD,2025-03-31
American Trust and Savings Bank,IA,Total Assets,33605000.00000000000,USD,2025-03-31
Americana Community Bank,MN,Total Assets,177779000.00000000000,USD,2025-03-31
"Ameriprise Bank, FSB",MN,Total Assets,24177571000.00000000000,USD,2025-03-31
Ameris Bank,GA,Total Assets,26427916000.00000000000,USD,2025-03-31
Ameriserv Financial Bank,PA,Total Assets,1426921000.00000000000,USD,2025-03-31
Ameristate Bank,OK,Total Assets,447975000.00000000000,USD,2025-03-31
Amistad Bank,TX,Total Assets,52241000.00000000000,USD,2025-03-31
Amory Federal Savings and Loan Association,MS,Total Assets,71642000.00000000000,USD,2025-03-31
Anahuac National Bank,TX,Total Assets,291547000.00000000000,USD,2025-03-31
Anchor Bank,FL,Total Assets,500445000.00000000000,USD,2025-03-31
Anchor D Bank,OK,Total Assets,385302000.00000000000,USD,2025-03-31
Anchor State Bank,IL,Total Assets,64319000.00000000000,USD,2025-03-31
Anderson Brothers Bank,SC,Total Assets,2066810000.00000000000,USD,2025-03-31
Anderson State Bank,IL,Total Assets,111188000.00000000000,USD,2025-03-31
Andes State Bank,SD,Total Assets,26141000.00000000000,USD,2025-03-31
Andover State Bank,KS,Total Assets,208780000.00000000000,USD,2025-03-31
Andrew Johnson Bank,TN,Total Assets,595955000.00000000000,USD,2025-03-31
Androscoggin Savings Bank,ME,Total Assets,1694530000.00000000000,USD,2025-03-31
"Angelina Savings Bank, SSB",TX,Total Assets,80824000.00000000000,USD,2025-03-31
Anna State Bank,IL,Total Assets,107161000.00000000000,USD,2025-03-31
Anstaff Bank,AR,Total Assets,1093436000.00000000000,USD,2025-03-31
Anthem Bank & Trust,LA,Total Assets,201452000.00000000000,USD,2025-03-31
Apex Bank,TN,Total Assets,1386953000.00000000000,USD,2025-03-31
Apex Banking Company of Georgia,GA,Total Assets,63580000.00000000000,USD,2025-03-31
Apollo Trust Company,PA,Total Assets,205145000.00000000000,USD,2025-03-31
Apple Bank,NY,Total Assets,17944824000.00000000000,USD,2025-03-31
Apple River State Bank,IL,Total Assets,611375000.00000000000,USD,2025-03-31
Applied Bank,DE,Total Assets,277124000.00000000000,USD,2025-03-31
Arbor Bank,NE,Total Assets,616500000.00000000000,USD,2025-03-31
Arcadian Bank,MN,Total Assets,224476000.00000000000,USD,2025-03-31
Argentine Federal Savings,KS,Total Assets,68083000.00000000000,USD,2025-03-31
Arlington State Bank,MN,Total Assets,56936000.00000000000,USD,2025-03-31
Arlo Bank,MO,Total Assets,135919000.00000000000,USD,2025-03-31
"Armed Forces Bank, National Association",KS,Total Assets,1418808000.00000000000,USD,2025-03-31
